ts_unix_ns,ticker,samples,latency_ns
1777428409232140156,4,512,157414
1777428409232345760,5,512,172575
1777428409232520043,6,512,142424
1777428409232687445,7,512,138839
1777428409232869045,8,512,145520
1777428409233038911,9,512,139287
1777428409233217431,10,512,149682
1777428409233403422,11,512,152621
1777428409233578172,12,512,144672
1777428409233756353,13,512,149338
1777428409233936007,14,512,149215
1777428409234110913,15,512,146526
1777428409234296047,16,512,154458
1777428409234475883,17,512,150654
1777428409234648631,18,512,144918
1777428409234825799,19,512,150385
1777428409235001933,20,512,146376
1777428409235171603,21,512,142542
1777428409235361633,22,512,149373
1777428409235535276,23,512,145479
1777428409235703195,24,512,140998
1777428409235884860,25,512,147332
1777428409236053490,26,512,141130
1777428409236238877,27,512,155956
1777428409236415765,28,512,146704
1777428409236588942,29,512,143380
1777428409236767206,30,512,151537
1777428409236943719,31,512,146944
1777428409237115416,32,512,143999
1777428409237294312,33,512,150192
1777428409237467719,34,512,145287
1777428409237639123,35,512,144680
1777428409237815501,36,512,149890
1777428409237991668,37,512,147603
1777428409238161266,38,512,142615
1777428409238347910,39,512,147845
1777428409238520397,40,512,143667
1777428409238686581,41,512,139638
1777428409238868100,42,512,149895
1777428409239040611,43,512,143846
1777428409239219202,44,512,151596
1777428409239401711,45,512,150890
1777428409239574343,46,512,144458
1777428409239753562,47,512,152433
1777428409239928556,48,512,145823
1777428409240096018,49,512,140964
1777428409240269189,50,512,147028
1777428409240438827,51,512,143974
1777428409240620005,52,512,151568
1777428409240811173,53,512,161521
1777428409240985348,54,512,141986
1777428409241152797,55,512,139195
1777428409241338390,56,512,147576
1777428409241508514,57,512,142148
1777428409241675436,58,512,139083
1777428409241858172,59,512,155174
1777428409242031334,60,512,142866
1777428409242208508,61,512,149135
1777428409242387186,62,512,146012
1777428409242558280,63,512,144842
1777428409242734570,64,512,150010
1777428409242911024,65,512,148445
1777428409243079414,66,512,142607
1777428409243264144,67,512,156118
1777428409243444340,68,512,150844
1777428409243615738,69,512,144917
1777428409243792690,70,512,150672
1777428409243970204,71,512,147557
1777428409244139064,72,512,141964
1777428409244336127,73,512,150314
1777428409244500790,74,512,135899
1777428409244665752,75,512,141000
1777428409244879016,76,512,181294
1777428409245074508,77,512,161686
1777428409245260893,78,512,155794
1777428409245435919,79,512,146560
1777428409245604054,80,512,142061
1777428409245778693,81,512,146894
1777428409245953967,82,512,144806
1777428409246125088,83,512,141010
1777428409246310925,84,512,156165
1777428409246484597,85,512,144593
1777428409246651943,86,512,141203
1777428409246834315,87,512,155992
1777428409247011112,88,512,148205
1777428409247192818,89,512,155357
1777428409247373564,90,512,148982
1777428409247544314,91,512,143906
1777428409247712241,92,512,141637
1777428409247896795,93,512,149465
1777428409248068111,94,512,144110
1777428409248249591,95,512,152407
1777428409248427953,96,512,149350
1777428409248597501,97,512,141820
1777428409248764719,98,512,141573
1777428409248938845,99,512,147853
1777428421231501609,0,512,299501
1777428421231783986,1,512,191732
1777428421231978171,2,512,159443
1777428421232157973,3,512,150663
1777428421232364385,4,512,163007
1777428421232552137,5,512,155864
1777428421232744897,6,512,161676
1777428421232924206,7,512,150292
1777428421233098977,8,512,146047
1777428421233289044,9,512,160536
1777428421233464402,10,512,144655
1777428421233634435,11,512,141035
1777428421233816444,12,512,153067
1777428421233991645,13,512,144471
1777428421234165069,14,512,142889
1777428421234349878,15,512,146090
1777428421234526868,16,512,147710
1777428421234696108,17,512,141040
1777428421234880324,18,512,149322
1777428421235054734,19,512,145426
1777428421235237985,20,512,153011
1777428421235420148,21,512,151783
1777428421235595075,22,512,144597
1777428421235771986,23,512,150730
1777428421235949166,24,512,148127
1777428421236121636,25,512,143598
1777428421236310067,26,512,159385
1777428421236521907,27,512,176717
1777428421236729154,28,512,174954
1777428421236908245,29,512,149804
1777428421237077287,30,512,142501
1777428421237261606,31,512,155038
1777428421237437045,32,512,145817
1777428421237603867,33,512,139877
1777428421237778813,34,512,148394
1777428421237953452,35,512,145218
1777428421238125694,36,512,143337
1777428421238309348,37,512,154449
1777428421238486844,38,512,149099
1777428421238656028,39,512,142455
1777428421238835378,40,512,152798
1777428421239009729,41,512,144546
1777428421239187293,42,512,150444
1777428421239370140,43,512,150998
1777428421239539611,44,512,142171
1777428421239709081,45,512,141620
1777428421239890703,46,512,146934
1777428421240059419,47,512,140985
1777428421240241927,48,512,153708
1777428421240416893,49,512,145451
1777428421240589030,50,512,140897
1777428421240767572,51,512,152105
1777428421240942602,52,512,144352
1777428421241114707,53,512,142557
1777428421241300077,54,512,155912
1777428421241481159,55,512,150888
1777428421241646917,56,512,136964
1777428421241819851,57,512,145045
1777428421241989530,58,512,139495
1777428421242158953,59,512,140271
1777428421242343548,60,512,146054
1777428421242516149,61,512,142719
1777428421242683095,62,512,138988
1777428421242862831,63,512,152292
1777428421243036217,64,512,143880
1777428421243214341,65,512,149360
1777428421243393517,66,512,146388
1777428421243566003,67,512,144597
1777428421243745709,68,512,151922
1777428421243923733,69,512,148458
1777428421244098345,70,512,147640
1777428421244283583,71,512,156326
1777428421244457772,72,512,145039
1777428421244613842,73,512,132182
1777428421244788858,74,512,150979
1777428421245000509,75,512,175471
1777428421245207782,76,512,174763
1777428421245386693,77,512,147205
1777428421245559228,78,512,145994
1777428421245737796,79,512,151577
1777428421245913416,80,512,146536
1777428421246084346,81,512,144486
1777428421246270031,82,512,156227
1777428421246445393,83,512,146646
1777428421246615116,84,512,142858
1777428421246790363,85,512,149390
1777428421246965090,86,512,145420
1777428421247135258,87,512,143099
1777428421247322815,88,512,158546
1777428421247495046,89,512,144744
1777428421247673062,90,512,141076
1777428421247855566,91,512,156372
1777428421248029830,92,512,145598
1777428421248208171,93,512,151454
1777428421248389528,94,512,148819
1777428421248559576,95,512,142881
1777428421248735075,96,512,148782
1777428421248907525,97,512,144479
1777428421249090294,98,512,153474
1777428421249288415,99,512,166257
1777428433231705936,0,512,300918
1777428433231968532,1,512,167375
1777428433232151494,2,512,152289
1777428433232356931,3,512,163858
1777428433232551630,4,512,161827
1777428433232748540,5,512,166521
1777428433232936784,6,512,156368
1777428433233113599,7,512,146926
1777428433233300259,8,512,154733
1777428433233478978,9,512,148255
1777428433233647603,10,512,139409
1777428433233824395,11,512,147480
1777428433234000010,12,512,144535
1777428433234167722,13,512,138708
1777428433234353724,14,512,145630
1777428433234531717,15,512,148399
1777428433234701429,16,512,141002
1777428433234882144,17,512,146730
1777428433235055709,18,512,143727
1777428433235240566,19,512,154257
1777428433235420711,20,512,150518
1777428433235594045,21,512,143975
1777428433235776036,22,512,154645
1777428433235954434,23,512,149126
1777428433236127195,24,512,142942
1777428433236312593,25,512,156031
1777428433236484317,26,512,143160
1777428433236657295,27,512,146440
1777428433236838250,28,512,153849
1777428433237015032,29,512,147743
1777428433237197905,30,512,155989
1777428433237381797,31,512,152044
1777428433237552993,32,512,143802
1777428433237727229,33,512,147368
1777428433237906798,34,512,150469
1777428433238075452,35,512,142671
1777428433238259272,36,512,154205
1777428433238437079,37,512,148526
1777428433238606787,38,512,142407
1777428433238786619,39,512,153098
1777428433238965485,40,512,148975
1777428433239137142,41,512,144433
1777428433239325511,42,512,159494
1777428433239502340,43,512,148234
1777428433239670611,44,512,141288
1777428433239853897,45,512,157089
1777428433240026897,46,512,144008
1777428433240206637,47,512,152692
1777428433240390073,48,512,152077
1777428433240563481,49,512,146743
1777428433240724150,50,512,135708
1777428433240915120,51,512,159332
1777428433241097919,52,512,154323
1777428433241301190,53,512,172350
1777428433241491075,54,512,157065
1777428433241659126,55,512,139382
1777428433241836390,56,512,148336
1777428433242010835,57,512,144047
1777428433242188661,58,512,149670
1777428433242369038,59,512,148820
1777428433242542889,60,512,145984
1777428433242710951,61,512,140170
1777428433242893675,62,512,147078
1777428433243064008,63,512,142866
1777428433243247734,64,512,153090
1777428433243425878,65,512,147721
1777428433243596816,66,512,142765
1777428433243774947,67,512,151436
1777428433243954427,68,512,149634
1777428433244128510,69,512,144822
1777428433244318052,70,512,160544
1777428433244494213,71,512,147715
1777428433244660807,72,512,140150
1777428433244835802,73,512,148413
1777428433245007608,74,512,145520
1777428433245228285,75,512,188659
1777428433245435875,76,512,169465
1777428433245603378,77,512,140188
1777428433245778613,78,512,148645
1777428433245954067,79,512,145896
1777428433246127148,80,512,144082
1777428433246313798,81,512,157611
1777428433246487857,82,512,145927
1777428433246656694,83,512,142512
1777428433246833826,84,512,148343
1777428433247007432,85,512,144846
1777428433247181310,86,512,146718
1777428433247363966,87,512,150150
1777428433247533749,88,512,143220
1777428433247701632,89,512,141498
1777428433247884629,90,512,149090
1777428433248055056,91,512,142142
1777428433248238457,92,512,154405
1777428433248415762,93,512,147259
1777428433248586239,94,512,140348
1777428433248763871,95,512,150945
1777428433248939562,96,512,146669
1777428433249102342,97,512,134572
1777428433249269586,98,512,140642
1777428433249438638,99,512,143389
1777428445232396100,0,512,306081
1777428445232658746,1,512,167486
1777428445232863375,2,512,173243
1777428445233063644,3,512,166974
1777428445233269530,4,512,172315
1777428445233464346,5,512,162706
1777428445233633484,6,512,139539
1777428445233823128,7,512,151108
1777428445233998915,8,512,144254
1777428445234168968,9,512,141032
1777428445234362068,10,512,151094
1777428445234535919,11,512,143592
1777428445234706736,12,512,142366
1777428445234891000,13,512,149786
1777428445235064138,14,512,143037
1777428445235249652,15,512,155639
1777428445235432202,16,512,151791
1777428445235602590,17,512,141546
1777428445235781403,18,512,151571
1777428445235958566,19,512,147429
